person.name,count(films)
Christina Ricci,1
Sam Rockwell,2
Rain,2
J.T. Walsh,2
Rita Wilson,1
Greg Kinnear,2
John Goodman,1
Noah Wyle,1
Ethan Hawke,1
Hugo Weaving,5
Val Kilmer,1
Cuba Gooding Jr.,4
Richard Harris,1
Paul Bettany,1
Meg Ryan,5
Takeshi Kitano,1
Carrie-Anne Moss,3
Laurence Fishburne,3
Marshall Bell,2
Oliver Platt,2
Susan Sarandon,1
Ed Harris,1
Emil Eifrem,1
Tom Cruise,3
Helen Hunt,3
Kevin Bacon,3
John Cusack,1
Clint Eastwood,1
Kelly Preston,1
Jay Mohr,1
Werner Herzog,1
Patricia Clarkson,1
Bonnie Hunt,2
Orlando Jones,1
Natalie Portman,1
Gary Sinise,2
James Marshall,1
Regina King,1
Kevin Pollak,1
Steve Zahn,2
Tom Hanks,12
Jack Nicholson,5
Stephen Rea,1
Ian McKellen,1
Bruno Kirby,1
Demi Moore,1
Matthew Fox,1
Liv Tyler,1
Jim Broadbent,1
Bill Pullman,1
Jonathan Lipnicki,1
Rick Yune,2
Tom Skerritt,1
Corey Feldman,1
Julia Roberts,1
Rosie O'Donnell,2
Halle Berry,1
Dina Meyer,1
Bill Paxton,3
Danny DeVito,2
Nathan Lane,2
Geena Davis,1
James Cromwell,2
Michael Clarke Duncan,1
Aaron Sorkin,1
Victor Garber,1
Gene Hackman,3
Charlize Theron,2
Zach Grenier,2
Ben Miles,3
Al Pacino,1
Emile Hirsch,1
River Phoenix,1
Kiefer Sutherland,2
Philip Seymour Hoffman,2
Lori Petty,1
Madonna,1
Renee Zellweger,1
Annabella Sciorra,1
Keanu Reeves,7
Robin Williams,3
Dave Chappelle,1
Max von Sydow,2
Frank Langella,1
Audrey Tautou,1
Jerry O'Connell,2
Christopher Guest,1
Parker Posey,1
Michael Sheen,1
Brooke Langton,1
Wil Wheaton,1
Billy Crystal,1
Diane Keaton,1
Carrie Fisher,1
Anthony Edwards,1
David Morse,1
Naomie Harris,1
John Hurt,1
Ice-T,1
Kelly McGillis,1
Christian Bale,1
John C. Reilly,1